step,row,col,hop0_score,hop1_score,escalated,dead_end,shortcut
1,2,48,2.0,,0,0,0
2,3,48,2.0,,0,0,0
3,4,48,2.0,,0,0,0
4,5,48,2.0,,0,0,0
5,5,47,2.0,,0,0,0
6,5,46,2.0,,0,0,0
7,4,46,2.0,,0,0,0
8,4,47,2.0,,0,0,0
9,5,47,0.0,,1,0,0
10,4,47,0.0,,1,0,0
11,4,48,0.0,,1,0,0
12,4,47,0.0,,1,0,0
13,4,46,0.0,,1,0,0
14,3,46,1.948051948051948,,0,0,0
15,2,46,1.7647058823529411,,0,0,0
16,1,46,1.6129032258064515,,0,0,0
17,1,45,1.4851485148514851,,0,0,0
18,1,44,1.3761467889908259,,0,0,0
19,2,44,1.282051282051282,,0,0,0
20,2,43,1.2,,0,0,0
21,3,43,1.1278195488721803,,0,0,0
22,4,43,1.0638297872340425,,0,0,0
23,4,42,1.006711409395973,,0,0,0
24,4,41,0.9554140127388535,,0,0,0
25,4,40,0.9090909090909091,,0,0,0
26,4,39,0.8670520231213872,,0,0,0
27,5,39,0.8287292817679558,,0,0,0
28,6,39,0.7936507936507936,,0,0,0
29,7,39,0.7614213197969544,,0,0,0
30,8,39,0.7317073170731708,,0,0,0
31,9,39,0.7042253521126761,,0,0,0
32,9,40,0.6787330316742082,,0,0,0
33,8,40,0.6550218340611353,,0,0,0
34,8,41,0.6329113924050633,,0,0,0
35,9,41,0.6122448979591837,,0,0,0
36,10,41,0.592885375494071,,1,0,0
37,11,41,0.5747126436781609,,1,0,0
38,12,41,0.5576208178438662,,1,0,0
39,12,40,0.5415162454873645,,1,0,0
40,12,39,0.5263157894736842,,1,0,0
41,12,38,0.5119453924914675,,1,0,0
42,12,37,0.4983388704318937,,1,0,0
43,12,36,0.48543689320388345,,1,0,0
44,13,36,0.47318611987381703,,1,0,0
45,14,36,0.46153846153846156,,1,0,0
46,14,37,0.45045045045045046,,1,0,0
47,14,38,0.43988269794721413,,1,0,0
48,15,38,0.42979942693409745,,1,0,0
49,15,39,0.42016806722689076,,1,0,0
50,15,40,0.410958904109589,,1,0,0
51,14,40,0.40214477211796246,,1,0,0
52,13,40,0.39370078740157477,,1,0,0
53,13,39,0.3856041131105398,,1,0,0
54,13,38,0.3778337531486146,,1,0,0
55,13,37,0.3703703703703704,,1,0,0
56,12,37,0.0,,1,0,0
57,13,37,0.0,,1,0,0
58,13,38,0.0,,1,0,0
59,13,39,0.0,,1,0,0
60,12,39,0.0,,1,0,0
61,13,39,0.0,,1,0,0
62,13,38,0.0,,1,0,0
63,14,38,0.0,,1,0,0
64,13,38,0.0,,1,0,0
65,12,38,0.0,,1,0,0
66,13,38,0.0,,1,0,0
67,13,37,0.0,,1,0,0
68,14,37,0.0,,1,0,0
69,13,37,0.0,,1,0,0
70,13,36,0.0,,1,0,0
71,13,37,0.0,,1,0,0
72,12,37,0.0,,1,0,0
73,11,37,0.36319612590799033,,1,0,0
74,11,36,0.35629453681710216,,1,0,0
75,11,35,0.34965034965034963,,1,0,0
76,10,35,0.34324942791762014,,1,0,0
77,10,36,0.33707865168539325,,1,0,0
78,10,37,0.33112582781456956,,1,0,0
79,9,37,0.32537960954446854,,1,0,0
80,9,38,0.31982942430703626,,1,0,0
81,10,38,0.3144654088050315,,1,0,0
82,11,38,0.30927835051546393,,1,0,0
83,11,39,0.3042596348884381,,1,0,0
84,10,39,0.29940119760479045,,1,0,0
85,10,40,0.29469548133595286,,1,0,0
86,11,40,0.2901353965183753,,1,0,0
87,11,39,0.0,,1,0,0
88,11,40,0.0,,1,0,0
89,12,40,0.0,,1,0,0
90,11,40,0.0,,1,0,0
91,10,40,0.0,,1,0,0
92,11,40,0.0,,1,0,0
93,11,41,0.0,,1,0,0
94,11,40,0.0,,1,0,0
95,11,41,0.0,,1,0,0
96,11,40,0.0,,1,0,0
97,11,39,0.0,,1,0,0
98,11,38,0.0,,1,0,0
99,12,38,0.0,,1,0,0
100,11,38,0.0,,1,0,0
101,11,39,0.0,,1,0,0
102,10,39,0.0,,1,0,0
103,9,39,0.0,,1,0,0
104,9,38,0.0,,1,0,0
105,8,38,0.2857142857142857,,1,0,0
106,8,37,0.28142589118198874,,1,0,0
107,7,37,0.27726432532347506,,1,0,0
108,6,37,0.273224043715847,,1,0,0
109,5,37,0.26929982046678635,,1,0,0
110,4,37,0.2654867256637168,,1,0,0
111,4,38,0.2617801047120419,,1,0,0
112,3,38,0.25817555938037867,,1,0,0
113,3,37,0.2546689303904924,,1,0,0
114,2,37,0.25125628140703515,,1,0,0
115,2,36,0.24793388429752067,,1,0,0
116,1,36,0.24469820554649263,,1,0,0
117,1,35,0.24154589371980675,,1,0,0
118,2,35,0.23847376788553257,,1,0,0
119,2,34,0.23547880690737832,,1,0,0
