step,row,col,hop0_score,hop1_score,escalated,dead_end,shortcut
1,1,47,2.0,,0,0,0
2,2,47,2.0,,0,0,0
3,2,48,2.0,,0,0,0
4,3,48,2.0,,0,0,0
5,4,48,2.0,,0,0,0
6,4,47,2.0,,0,0,0
7,4,46,2.0,,0,0,0
8,3,46,2.0,,0,0,0
9,2,46,1.948051948051948,,0,0,0
10,1,46,1.7647058823529411,,0,0,0
11,1,45,1.6129032258064515,,0,0,0
12,2,45,1.4851485148514851,,0,0,0
13,3,45,1.3761467889908259,,0,0,0
14,3,46,0.0,,1,0,0
15,3,45,0.0,,1,0,0
16,2,45,0.0,,1,0,0
17,2,44,1.282051282051282,,0,0,0
18,1,44,1.2,,0,0,0
19,1,43,1.1278195488721803,,0,0,0
20,1,42,1.0638297872340425,,0,0,0
21,2,42,1.006711409395973,,0,0,0
22,2,41,0.9554140127388535,,1,0,0
23,2,40,0.9090909090909091,,1,0,0
24,2,39,0.8670520231213872,,1,0,0
25,3,39,0.8287292817679558,,1,0,0
26,4,39,0.7936507936507936,,1,0,0
27,4,38,0.7614213197969544,,1,0,0
28,5,38,0.7317073170731708,,1,0,0
29,5,39,0.7042253521126761,,1,0,0
30,5,40,0.6787330316742082,,1,0,0
31,6,40,0.6550218340611353,,1,0,0
32,6,39,0.6329113924050633,,1,0,0
33,6,38,0.6122448979591837,,1,0,0
34,7,38,0.592885375494071,,1,0,0
35,8,38,0.5747126436781609,,1,0,0
36,9,38,0.5576208178438662,,1,0,0
37,9,37,0.5415162454873645,,1,0,0
38,9,36,0.5263157894736842,,1,0,0
39,8,36,0.5119453924914675,,1,0,0
40,8,37,0.4983388704318937,,1,0,0
41,7,37,0.48543689320388345,,1,0,0
42,7,36,0.47318611987381703,,1,0,0
43,7,35,0.46153846153846156,,1,0,0
44,6,35,0.45045045045045046,,1,0,0
45,6,34,0.43988269794721413,,1,0,0
46,7,34,0.42979942693409745,,1,0,0
47,7,33,0.42016806722689076,,1,0,0
48,7,32,0.410958904109589,,1,0,0
49,8,32,0.40214477211796246,,1,0,0
50,8,31,0.39370078740157477,,1,0,0
51,7,31,0.3856041131105398,,1,0,0
52,6,31,0.3778337531486146,,1,0,0
53,5,31,0.3703703703703704,,1,0,0
54,4,31,0.36319612590799033,,1,0,0
55,4,32,0.35629453681710216,,1,0,0
56,5,32,0.34965034965034963,,1,0,0
57,5,33,0.34324942791762014,,1,0,0
58,4,33,0.33707865168539325,,1,0,0
59,4,34,0.33112582781456956,,1,0,0
60,4,35,0.32537960954446854,,1,0,0
61,5,35,0.31982942430703626,,1,0,0
62,6,35,0.0,,1,0,0
63,5,35,0.0,,1,0,0
64,4,35,0.0,,1,0,0
65,4,36,0.3144654088050315,,1,0,0
66,4,37,0.30927835051546393,,1,0,0
67,5,37,0.3042596348884381,,1,0,0
68,6,37,0.29940119760479045,,1,0,0
69,6,36,0.29469548133595286,,1,0,0
70,7,36,0.0,,1,0,0
71,6,36,0.0,,1,0,0
72,6,35,0.0,,1,0,0
73,6,36,0.0,,1,0,0
74,6,37,0.0,,1,0,0
75,7,37,0.0,,1,0,0
76,6,37,0.0,,1,0,0
77,5,37,0.0,,1,0,0
78,5,38,0.0,,1,0,0
79,5,37,0.0,,1,0,0
80,6,37,0.0,,1,0,0
81,6,38,0.0,,1,0,0
82,6,37,0.0,,1,0,0
83,6,36,0.0,,1,0,0
84,6,35,0.0,,1,0,0
85,6,36,0.0,,1,0,0
86,6,37,0.0,,1,0,0
87,7,37,0.0,,1,0,0
88,8,37,0.0,,1,0,0
89,7,37,0.0,,1,0,0
90,7,38,0.0,,1,0,0
91,7,37,0.0,,1,0,0
92,6,37,0.0,,1,0,0
93,5,37,0.0,,1,0,0
94,4,37,0.0,,1,0,0
95,3,37,0.2901353965183753,,1,0,0
96,3,38,0.2857142857142857,,1,0,0
97,2,38,0.28142589118198874,,1,0,0
98,2,37,0.27726432532347506,,1,0,0
99,2,36,0.273224043715847,,1,0,0
100,2,35,0.26929982046678635,,1,0,0
101,2,34,0.2654867256637168,,1,0,0
102,3,34,0.2617801047120419,,1,0,0
103,3,33,0.25817555938037867,,1,0,0
104,2,33,0.2546689303904924,,1,0,0
105,1,33,0.25125628140703515,,1,0,0
106,1,32,0.24793388429752067,,1,0,0
107,1,31,0.24469820554649263,,1,0,0
108,2,31,0.24154589371980675,,1,0,0
109,2,30,0.23847376788553257,,1,0,0
110,2,29,0.23547880690737832,,1,0,0
111,2,28,0.23255813953488372,,1,0,0
112,2,27,0.22970903522205208,,1,0,0
113,1,27,0.22692889561270801,,1,0,0
114,1,28,0.2242152466367713,,1,0,0
115,1,29,0.22156573116691286,,1,0,0
116,1,30,0.21897810218978103,,1,0,0
117,2,30,0.0,,1,0,0
118,3,30,0.21645021645021645,,1,0,0
119,4,30,0.21398002853067047,,1,0,0
