step,row,col,hop0_score,hop1_score,escalated,dead_end,shortcut
1,1,47,2.0,1.4,0,0,0
2,2,47,2.0,1.4,0,0,0
3,2,46,2.0,1.4,0,0,0
4,2,45,2.0,1.4,0,0,0
5,2,44,2.0,1.4,0,0,0
6,1,44,2.0,1.4,0,0,0
7,1,45,2.0,1.4,0,0,0
8,1,46,2.0,1.4,0,0,0
9,1,45,0.0,0.0,1,1,0
10,2,45,0.0,0.0,1,1,0
11,3,45,1.948051948051948,1.3636363636363635,0,0,0
12,3,46,1.7647058823529411,1.2352941176470587,0,0,0
13,4,46,1.6129032258064515,1.129032258064516,0,0,0
14,4,47,1.4851485148514851,1.0396039603960396,0,0,0
15,5,47,1.3761467889908259,0.9633027522935781,0,0,0
16,5,46,1.282051282051282,0.8974358974358972,0,0,0
17,5,45,1.2,0.84,0,0,0
18,6,45,1.1278195488721803,0.7894736842105261,0,0,0
19,6,44,1.0638297872340425,0.7446808510638298,0,0,0
20,6,43,1.006711409395973,0.7046979865771811,0,0,0
21,5,43,0.9554140127388535,0.6687898089171974,1,0,0
22,4,43,0.9090909090909091,0.6363636363636364,1,0,0
23,4,44,0.8670520231213872,0.606936416184971,1,0,0
24,4,43,0.0,0.0,1,1,0
25,4,42,0.8287292817679558,0.580110497237569,1,0,0
26,5,42,0.7936507936507936,0.5555555555555555,1,0,0
27,5,41,0.7614213197969544,0.5329949238578681,1,0,0
28,4,41,0.7317073170731708,0.5121951219512195,1,0,0
29,4,40,0.7042253521126761,0.49295774647887325,1,0,0
30,4,39,0.6787330316742082,0.4751131221719457,1,0,0
31,4,38,0.6550218340611353,0.4585152838427947,1,0,0
32,5,38,0.6329113924050633,0.4430379746835443,1,0,0
33,5,39,0.6122448979591837,0.42857142857142855,1,0,0
34,6,39,0.592885375494071,0.41501976284584974,1,0,0
35,7,39,0.5747126436781609,0.4022988505747126,1,0,0
36,8,39,0.5576208178438662,0.3903345724907063,1,0,0
37,9,39,0.5415162454873645,0.3790613718411552,1,0,0
38,9,40,0.5263157894736842,0.3684210526315789,1,0,0
39,9,41,0.5119453924914675,0.35836177474402725,1,0,0
40,10,41,0.4983388704318937,0.34883720930232553,1,0,0
41,11,41,0.48543689320388345,0.3398058252427184,1,0,0
42,11,40,0.47318611987381703,0.3312302839116719,1,0,0
43,10,40,0.46153846153846156,0.3230769230769231,1,0,0
44,10,39,0.45045045045045046,0.3153153153153153,1,0,0
45,11,39,0.43988269794721413,0.30791788856304986,1,0,0
46,11,38,0.42979942693409745,0.3008595988538682,1,0,0
47,10,38,0.42016806722689076,0.29411764705882354,1,0,0
48,10,37,0.410958904109589,0.2876712328767123,1,0,0
49,11,37,0.40214477211796246,0.2815013404825737,1,0,0
50,12,37,0.39370078740157477,0.2755905511811023,1,0,0
51,13,37,0.3856041131105398,0.26992287917737784,1,0,0
52,13,38,0.3778337531486146,0.26448362720403024,1,0,0
53,14,38,0.3703703703703704,0.25925925925925924,1,0,0
54,14,37,0.36319612590799033,0.2542372881355932,1,0,0
55,15,37,0.35629453681710216,0.2494061757719715,1,0,0
56,15,38,0.34965034965034963,0.24475524475524474,1,0,0
57,16,38,0.34324942791762014,0.24027459954233407,1,0,0
58,17,38,0.33707865168539325,0.23595505617977525,1,0,0
59,17,39,0.33112582781456956,0.23178807947019867,1,0,0
60,18,39,0.32537960954446854,0.22776572668112796,1,0,0
61,18,38,0.31982942430703626,0.22388059701492535,1,0,0
62,18,37,0.3144654088050315,0.22012578616352202,1,0,0
63,17,37,0.30927835051546393,0.21649484536082475,1,0,0
64,17,36,0.3042596348884381,0.21298174442190665,1,0,0
65,18,36,0.29940119760479045,0.2095808383233533,1,0,0
66,18,35,0.29469548133595286,0.206286836935167,1,0,0
67,18,34,0.2901353965183753,0.20309477756286268,1,0,0
68,19,34,0.2857142857142857,0.19999999999999998,1,0,0
69,19,33,0.28142589118198874,0.1969981238273921,1,0,0
70,19,32,0.27726432532347506,0.19408502772643252,1,0,0
71,20,32,0.273224043715847,0.19125683060109291,1,0,0
72,20,31,0.26929982046678635,0.18850987432675043,1,0,0
73,19,31,0.2654867256637168,0.18584070796460173,1,0,0
74,18,31,0.2617801047120419,0.18324607329842932,1,0,0
75,17,31,0.25817555938037867,0.18072289156626506,1,0,0
76,16,31,0.2546689303904924,0.17826825127334464,1,0,0
77,15,31,0.25125628140703515,0.1758793969849246,1,0,0
78,15,32,0.24793388429752067,0.17355371900826447,1,0,0
79,14,32,0.24469820554649263,0.17128874388254484,1,0,0
