spike_id,episode_range,delta_ged,delta_ig,spike_detected,reward_threshold_exceeded,ged_threshold,ig_threshold,conflict_threshold,threshold_multiplier_ged,threshold_multiplier_ig,detection_timestamp
1,1-200,2.1001,44.6015,True,True,0.5,0.2,0.6,4.2,223.0,2025-06-18 02:46:25
2,201-400,2.0896,18.2872,True,True,0.5,0.2,0.6,4.2,91.4,2025-06-18 02:46:25
3,401-600,2.0845,8.9837,True,True,0.5,0.2,0.6,4.2,44.9,2025-06-18 02:46:25
4,601-800,2.0814,3.6017,True,True,0.5,0.2,0.6,4.2,18.0,2025-06-18 02:46:25
5,801-1000,2.0804,1.5295,True,True,0.5,0.2,0.6,4.2,7.6,2025-06-18 02:46:25
