algorithm,maze_size,maze_type,trial,steps,time,success,seed,wall_hits,memory_size
gedig_blind,10x10,dfs,26,131,0.009888172149658203,True,302,65.0,
gedig_visual,10x10,dfs,26,66,0.005351066589355469,True,302,,44.0
random,10x10,dfs,27,76,0.0006229877471923828,True,312,,
gedig_blind,10x10,dfs,27,41,0.0032083988189697266,True,312,21.0,
gedig_visual,10x10,dfs,27,20,0.0015921592712402344,True,312,,20.0
random,10x10,dfs,28,132,0.001077890396118164,True,322,,
gedig_blind,10x10,dfs,28,130,0.009380102157592773,True,322,64.0,
gedig_visual,10x10,dfs,28,66,0.005137920379638672,True,322,,49.0
random,10x10,dfs,29,382,0.003319263458251953,True,332,,
gedig_blind,10x10,dfs,29,31,0.0021741390228271484,True,332,15.0,
gedig_visual,10x10,dfs,29,16,0.0013980865478515625,True,332,,16.0
random,15x15,dfs,0,1733,0.014384984970092773,True,42,,
gedig_blind,15x15,dfs,0,89,0.008332967758178711,True,42,45.0,
gedig_visual,15x15,dfs,0,44,0.0038290023803710938,True,42,,34.0
random,15x15,dfs,1,1295,0.011873960494995117,True,52,,
gedig_blind,15x15,dfs,1,320,0.02335214614868164,True,52,160.0,
gedig_visual,15x15,dfs,1,160,0.012792110443115234,True,52,,96.0
random,15x15,dfs,2,1738,0.01451420783996582,True,62,,
gedig_blind,15x15,dfs,2,86,0.0063817501068115234,True,62,42.0,
gedig_visual,15x15,dfs,2,44,0.003557920455932617,True,62,,44.0
random,15x15,dfs,3,2000,0.018129825592041016,False,72,,
gedig_blind,15x15,dfs,3,1000,0.07016277313232422,False,72,180.0,
gedig_visual,15x15,dfs,3,1000,0.07876181602478027,False,72,,89.0
random,15x15,dfs,4,2000,0.016062259674072266,False,82,,
gedig_blind,15x15,dfs,4,289,0.02156686782836914,True,82,145.0,
gedig_visual,15x15,dfs,4,144,0.011197090148925781,True,82,,92.0
random,15x15,dfs,5,2000,0.015557050704956055,False,92,,
gedig_blind,15x15,dfs,5,123,0.008331060409545898,True,92,63.0,
gedig_visual,15x15,dfs,5,60,0.00449824333190918,True,92,,56.0
random,15x15,dfs,6,2000,0.015903949737548828,False,102,,
gedig_blind,15x15,dfs,6,166,0.010868072509765625,True,102,82.0,
gedig_visual,15x15,dfs,6,84,0.006429910659790039,True,102,,80.0
random,15x15,dfs,7,2000,0.015687227249145508,False,112,,
gedig_blind,15x15,dfs,7,156,0.010524988174438477,True,112,76.0,
gedig_visual,15x15,dfs,7,80,0.0058939456939697266,True,112,,80.0
random,15x15,dfs,8,2000,0.01771378517150879,False,122,,
gedig_blind,15x15,dfs,8,168,0.013777971267700195,True,122,84.0,
gedig_visual,15x15,dfs,8,84,0.007179975509643555,True,122,,70.0
random,15x15,dfs,9,860,0.006878852844238281,True,132,,
gedig_blind,15x15,dfs,9,93,0.006441831588745117,True,132,45.0,
gedig_visual,15x15,dfs,9,48,0.004517793655395508,True,132,,48.0
random,15x15,dfs,10,2000,0.019047975540161133,False,142,,
gedig_blind,15x15,dfs,10,219,0.01648688316345215,True,142,111.0,
gedig_visual,15x15,dfs,10,108,0.008562803268432617,True,142,,76.0
