algorithm,maze_size,maze_type,trial,steps,time,success,seed,wall_hits,memory_size
random,10x10,prim,13,749,0.006322145462036133,True,172,,
gedig_blind,10x10,prim,13,60,0.004082918167114258,True,172,30.0,
gedig_visual,10x10,prim,13,30,0.0023789405822753906,True,172,,25.0
random,10x10,prim,14,1859,0.015159130096435547,True,182,,
gedig_blind,10x10,prim,14,118,0.008014917373657227,True,182,60.0,
gedig_visual,10x10,prim,14,58,0.004422903060913086,True,182,,37.0
random,10x10,prim,15,2000,0.018661022186279297,False,192,,
gedig_blind,10x10,prim,15,56,0.00627899169921875,True,192,30.0,
gedig_visual,10x10,prim,15,26,0.004405975341796875,True,192,,23.0
random,10x10,prim,16,248,0.002349853515625,True,202,,
gedig_blind,10x10,prim,16,126,0.01110696792602539,True,202,64.0,
gedig_visual,10x10,prim,16,62,0.0059452056884765625,True,202,,39.0
random,10x10,prim,17,2000,0.01983499526977539,False,212,,
gedig_blind,10x10,prim,17,97,0.008563041687011719,True,212,49.0,
gedig_visual,10x10,prim,17,48,0.004520893096923828,True,212,,31.0
random,10x10,prim,18,465,0.004522085189819336,True,222,,
gedig_blind,10x10,prim,18,132,0.010775089263916016,True,222,66.0,
gedig_visual,10x10,prim,18,66,0.005581855773925781,True,222,,40.0
random,10x10,prim,19,1407,0.012753009796142578,True,232,,
gedig_blind,10x10,prim,19,105,0.007634162902832031,True,232,53.0,
gedig_visual,10x10,prim,19,52,0.00426173210144043,True,232,,33.0
random,10x10,prim,20,171,0.0014829635620117188,True,242,,
gedig_blind,10x10,prim,20,151,0.011414051055908203,True,242,75.0,
gedig_visual,10x10,prim,20,76,0.0062830448150634766,True,242,,46.0
random,10x10,prim,21,1133,0.009911775588989258,True,252,,
gedig_blind,10x10,prim,21,102,0.007322072982788086,True,252,52.0,
gedig_visual,10x10,prim,21,50,0.004110097885131836,True,252,,33.0
random,10x10,prim,22,157,0.001322031021118164,True,262,,
gedig_blind,10x10,prim,22,113,0.008049726486206055,True,262,57.0,
gedig_visual,10x10,prim,22,56,0.004604816436767578,True,262,,35.0
random,10x10,prim,23,918,0.007609128952026367,True,272,,
gedig_blind,10x10,prim,23,69,0.004603862762451172,True,272,35.0,
gedig_visual,10x10,prim,23,34,0.0026159286499023438,True,272,,26.0
random,10x10,prim,24,1298,0.010468244552612305,True,282,,
gedig_blind,10x10,prim,24,86,0.005735874176025391,True,282,44.0,
gedig_visual,10x10,prim,24,42,0.0032227039337158203,True,282,,29.0
random,10x10,prim,25,1450,0.01144099235534668,True,292,,
gedig_blind,10x10,prim,25,86,0.005730867385864258,True,292,44.0,
gedig_visual,10x10,prim,25,42,0.0032258033752441406,True,292,,29.0
random,10x10,prim,26,1424,0.01137995719909668,True,302,,
gedig_blind,10x10,prim,26,127,0.008519172668457031,True,302,63.0,
gedig_visual,10x10,prim,26,64,0.004889011383056641,True,302,,41.0
random,10x10,prim,27,392,0.003267049789428711,True,312,,
gedig_blind,10x10,prim,27,100,0.008381843566894531,True,312,50.0,
gedig_visual,10x10,prim,27,50,0.003838062286376953,True,312,,32.0
random,10x10,prim,28,1058,0.008908987045288086,True,322,,
gedig_blind,10x10,prim,28,108,0.008346080780029297,True,322,54.0,
gedig_visual,10x10,prim,28,54,0.0041348934173583984,True,322,,34.0
random,10x10,prim,29,382,0.003055095672607422,True,332,,
gedig_blind,10x10,prim,29,75,0.005079984664916992,True,332,39.0,
gedig_visual,10x10,prim,29,36,0.002640962600708008,True,332,,27.0
random,15x15,prim,0,1358,0.010468244552612305,True,42,,
gedig_blind,15x15,prim,0,105,0.007333993911743164,True,42,53.0,
gedig_visual,15x15,prim,0,52,0.0044918060302734375,True,42,,38.0
random,15x15,prim,1,1800,0.015106201171875,True,52,,
gedig_blind,15x15,prim,1,153,0.010592937469482422,True,52,77.0,
gedig_visual,15x15,prim,1,76,0.005719184875488281,True,52,,50.0
random,15x15,prim,2,1267,0.009855031967163086,True,62,,
gedig_blind,15x15,prim,2,217,0.01531076431274414,True,62,109.0,
gedig_visual,15x15,prim,2,108,0.008175134658813477,True,62,,66.0
random,15x15,prim,3,2000,0.018033266067504883,False,72,,
gedig_blind,15x15,prim,3,266,0.0200347900390625,True,72,134.0,
gedig_visual,15x15,prim,3,132,0.010342121124267578,True,72,,80.0
random,15x15,prim,4,2000,0.016749143600463867,False,82,,
gedig_blind,15x15,prim,4,257,0.017088651657104492,True,82,129.0,
gedig_visual,15x15,prim,4,128,0.009739160537719727,True,82,,76.0
random,15x15,prim,5,1865,0.015281915664672852,True,92,,
gedig_blind,15x15,prim,5,129,0.009294748306274414,True,92,65.0,
gedig_visual,15x15,prim,5,64,0.0059719085693359375,True,92,,44.0
random,15x15,prim,6,2000,0.017240047454833984,False,102,,
gedig_blind,15x15,prim,6,193,0.013187170028686523,True,102,97.0,
gedig_visual,15x15,prim,6,96,0.007989883422851562,True,102,,60.0
random,15x15,prim,7,2000,0.01679372787475586,False,112,,
gedig_blind,15x15,prim,7,163,0.011247873306274414,True,112,83.0,
gedig_visual,15x15,prim,7,80,0.006206035614013672,True,112,,54.0
random,15x15,prim,8,2000,0.016474246978759766,False,122,,
gedig_blind,15x15,prim,8,121,0.008805990219116211,True,122,61.0,
gedig_visual,15x15,prim,8,60,0.006209611892700195,True,122,,42.0
random,15x15,prim,9,2000,0.020572900772094727,False,132,,
gedig_blind,15x15,prim,9,184,0.014505386352539062,True,132,92.0,
gedig_visual,15x15,prim,9,92,0.007699251174926758,True,132,,58.0
random,15x15,prim,10,987,0.009074926376342773,True,142,,
gedig_blind,15x15,prim,10,129,0.009984016418457031,True,142,65.0,
gedig_visual,15x15,prim,10,64,0.005172014236450195,True,142,,44.0
random,15x15,prim,11,1025,0.008545160293579102,True,152,,
gedig_blind,15x15,prim,11,177,0.012240171432495117,True,152,89.0,
gedig_visual,15x15,prim,11,88,0.006847858428955078,True,152,,56.0
random,15x15,prim,12,2000,0.016434192657470703,False,162,,
gedig_blind,15x15,prim,12,129,0.009089946746826172,True,162,65.0,
gedig_visual,15x15,prim,12,64,0.0059740543365478516,True,162,,44.0
random,15x15,prim,13,2000,0.01784992218017578,False,172,,
gedig_blind,15x15,prim,13,200,0.013946056365966797,True,172,100.0,
gedig_visual,15x15,prim,13,100,0.007916927337646484,True,172,,62.0
random,15x15,prim,14,2000,0.01643085479736328,False,182,,
gedig_blind,15x15,prim,14,168,0.011564016342163086,True,182,84.0,
gedig_visual,15x15,prim,14,84,0.006746053695678711,True,182,,54.0
random,15x15,prim,15,2000,0.016324996948242188,False,192,,
gedig_blind,15x15,prim,15,152,0.010632038116455078,True,192,76.0,
gedig_visual,15x15,prim,15,76,0.005955934524536133,True,192,,50.0
random,15x15,prim,16,2000,0.016254901885986328,False,202,,
gedig_blind,15x15,prim,16,256,0.017673015594482422,True,202,128.0,
gedig_visual,15x15,prim,16,128,0.009742021560668945,True,202,,76.0
random,15x15,prim,17,2000,0.015774965286254883,False,212,,
gedig_blind,15x15,prim,17,210,0.013646841049194336,True,212,106.0,
gedig_visual,15x15,prim,17,104,0.009093046188354492,True,212,,66.0
random,15x15,prim,18,2000,0.015798091888427734,False,222,,
gedig_blind,15x15,prim,18,129,0.00838780403137207,True,222,65.0,
gedig_visual,15x15,prim,18,64,0.004858970642089844,True,222,,44.0
random,15x15,prim,19,2000,0.01816082000732422,False,232,,
gedig_blind,15x15,prim,19,184,0.013978719711303711,True,232,92.0,
gedig_visual,15x15,prim,19,92,0.007253885269165039,True,232,,58.0
random,15x15,prim,20,1230,0.011466026306152344,True,242,,
gedig_blind,15x15,prim,20,152,0.010263681411743164,True,242,76.0,
gedig_visual,15x15,prim,20,76,0.00588679313659668,True,242,,50.0
random,15x15,prim,21,2000,0.01813507080078125,False,252,,
gedig_blind,15x15,prim,21,161,0.012412786483764648,True,252,81.0,
gedig_visual,15x15,prim,21,80,0.006593227386474609,True,252,,52.0
random,15x15,prim,22,2000,0.017347097396850586,False,262,,
gedig_blind,15x15,prim,22,160,0.01108694076538086,True,262,80.0,
gedig_visual,15x15,prim,22,80,0.006849050521850586,True,262,,52.0
random,15x15,prim,23,2000,0.017148256301879883,False,272,,
gedig_blind,15x15,prim,23,280,0.021294832229614258,True,272,140.0,
gedig_visual,15x15,prim,23,140,0.010823965072631836,True,272,,82.0
random,15x15,prim,24,1601,0.013649225234985352,True,282,,
gedig_blind,15x15,prim,24,232,0.015925884246826172,True,282,116.0,
gedig_visual,15x15,prim,24,116,0.009066104888916016,True,282,,70.0
random,15x15,prim,25,2000,0.017328977584838867,False,292,,
gedig_blind,15x15,prim,25,262,0.020829200744628906,True,292,130.0,
gedig_visual,15x15,prim,25,132,0.011572122573852539,True,292,,80.0
random,15x15,prim,26,2000,0.0205690860748291,False,302,,
gedig_blind,15x15,prim,26,201,0.014557838439941406,True,302,101.0,
gedig_visual,15x15,prim,26,100,0.008643865585327148,True,302,,62.0
random,15x15,prim,27,2000,0.018846988677978516,False,312,,
gedig_blind,15x15,prim,27,194,0.014344930648803711,True,312,98.0,
gedig_visual,15x15,prim,27,96,0.007609128952026367,True,312,,62.0
random,15x15,prim,28,2000,0.01913595199584961,False,322,,
gedig_blind,15x15,prim,28,217,0.018512248992919922,True,322,109.0,
gedig_visual,15x15,prim,28,108,0.010607004165649414,True,322,,66.0
random,15x15,prim,29,2000,0.020284175872802734,False,332,,
gedig_blind,15x15,prim,29,121,0.010499954223632812,True,332,61.0,
gedig_visual,15x15,prim,29,60,0.0058629512786865234,True,332,,42.0
