config_name,params,update_rate,updates_applied,novel_updates,moderate_updates,low_novelty_updates,final_nodes,final_edges,avg_gedig,positive_rate,avg_similarity,distance_from_target,performance_score
Target Balanced,"{'k': 0.12, 'node_weight': 0.3, 'edge_weight': 0.2, 'novelty_weight': 0.4, 'connectivity_weight': 0.1, 'threshold_base': 0.05, 'threshold_novelty_high': -0.15, 'threshold_novelty_low': 0.15, 'edge_similarity_threshold': 0.35, 'adaptive_k': True, 'density_k_factor': 0.3}",1.0,19,19.0,0.0,0.0,32,30,0.2544149092191354,1.0,0.18449316597707419,0.65,-0.30000000000000004
Conservative Smart,"{'k': 0.18, 'node_weight': 0.25, 'edge_weight': 0.15, 'novelty_weight': 0.5, 'connectivity_weight': 0.08, 'threshold_base': 0.1, 'threshold_novelty_high': -0.1, 'threshold_novelty_low': 0.2, 'edge_similarity_threshold': 0.4, 'adaptive_k': True, 'density_k_factor': 0.4}",1.0,19,19.0,0.0,0.0,32,30,0.1645279547858788,1.0,0.18449316597707419,0.65,-0.30000000000000004
Selective Growth,"{'k': 0.15, 'node_weight': 0.28, 'edge_weight': 0.18, 'novelty_weight': 0.45, 'connectivity_weight': 0.09, 'threshold_base': 0.08, 'threshold_novelty_high': -0.12, 'threshold_novelty_low': 0.18, 'edge_similarity_threshold': 0.38, 'adaptive_k': True, 'density_k_factor': 0.35}",1.0,19,19.0,0.0,0.0,32,30,0.21589596608940914,1.0,0.18449316597707419,0.65,-0.30000000000000004
Quality Focus,"{'k': 0.2, 'node_weight': 0.22, 'edge_weight': 0.12, 'novelty_weight': 0.6, 'connectivity_weight': 0.05, 'threshold_base': 0.12, 'threshold_novelty_high': -0.08, 'threshold_novelty_low': 0.25, 'edge_similarity_threshold': 0.45, 'adaptive_k': True, 'density_k_factor': 0.5}",1.0,19,19.0,0.0,0.0,32,30,0.10603727304783839,1.0,0.18449316597707419,0.65,-0.30000000000000004
STATIC (Baseline),,0.0,0,,,,13,29,,,0.1690401347807776,0.35,0.30000000000000004
FREQUENCY (Baseline),,1.0,19,,,,32,30,,,0.18449316597707419,0.65,-0.30000000000000004
COSINE (Baseline),,1.0,19,,,,32,30,,,0.18449316597707419,0.65,-0.30000000000000004
