episode_number,total_episodes,nodes_count,edges_count,graph_density,avg_degree,timestamp
25,25,25,250,0.8333333333333334,20.0,2025-06-19T02:30:02.521920
50,50,50,500,0.40816326530612246,20.0,2025-06-19T02:30:03.600277
75,75,75,750,0.2702702702702703,20.0,2025-06-19T02:30:04.704524
100,100,100,1000,0.20202020202020202,20.0,2025-06-19T02:30:05.807268
100,100,100,1000,0.20202020202020202,20.0,2025-06-19T02:30:05.807365
