policy,success_rate,mean_steps_success,path_efficiency_mean,exploration_ratio_mean,gedig_auc_mean,gedig_auc_stdev
random,0.5,258,0.11850496103164425,0.12487051312113569,0.07998612751234363,0.06438975598184463
threshold_1,0.9,128.55555555555554,0.22029913406106455,0.5464595300266739,0.2602527852454698,0.13590552163242847
threshold_2,0.7,173.57142857142858,0.15236542768732345,0.3523392066798108,0.1755853477669191,0.11117766541950157
gedig_simple,0.9,128.55555555555554,0.22029913406106455,0.5464595300266739,0.2602527852454698,0.13590552163242847
threshold_3,0.45,220.88888888888889,0.09770851198470495,0.1337444624930607,0.07969193642696212,0.053157959681925854
