episode_id,processing_time,ged_value,ig_value,spike_detected,topk_neighbors_used
1,0.09280896186828613,0.08673933227707116,0.04490745553946998,False,1
2,0.03271794319152832,0.14618060780326136,0.06307457406490835,False,2
3,0.031167984008789062,0.13285249244590408,0.08687901707423631,False,3
4,0.0299379825592041,0.06852949286782983,0.0818700898752941,False,4
5,0.03032088279724121,0.201772634190576,0.07806033376040071,True,5
6,0.030385971069335938,0.1290847962933513,0.12128053482783205,True,6
7,0.031888723373413086,0.18618620264367064,0.08142325328293173,True,7
8,0.03171420097351074,0.1439415994569714,0.1190268138691642,True,8
9,0.03106999397277832,0.14717398151216016,0.08632100607942526,False,9
10,0.0336451530456543,0.03723855187346334,0.07821014744158203,False,10
11,0.030040264129638672,0.04297321594506053,0.1599999672372135,True,10
12,0.031032085418701172,0.04042516171078968,0.15999998511860586,True,10
13,0.031210899353027344,0.03236129564845423,0.16000000299999997,True,10
14,0.03094196319580078,0.04692409059169644,0.18000000299999996,True,10
15,0.03080606460571289,0.03665626530018611,0.17999998511860585,True,10
16,0.030324935913085938,0.04071891262004568,0.18000000299999996,True,10
17,0.03124403953552246,0.03248481590361631,0.19999996723721347,True,10
18,0.03148078918457031,0.04291593478255803,0.18000000299999996,True,10
19,0.0303952693939209,0.03585329327454348,0.1800000029999996,True,10
20,0.032305002212524414,0.029100945463336136,0.14000000299999993,True,10
21,0.03009510040283203,0.04247128387495293,0.12000000299999994,True,10
22,0.030607938766479492,0.04092492581768548,0.19999998511860584,True,10
23,0.031223058700561523,0.032398534098916146,0.16000000299999997,True,10
24,0.030749082565307617,0.04084491871921231,0.15999994935581724,True,10
25,0.031769752502441406,0.04126842363175709,0.18000000299999996,True,10
26,0.03142094612121582,0.03342066307906862,0.15999998511860586,True,10
27,0.02892589569091797,0.03560807999672413,0.18000000299999996,True,10
28,0.02861499786376953,0.044200057163600016,0.20000000299999995,True,10
29,0.028956890106201172,0.03928188441041598,0.18000000299999996,True,10
30,0.029233932495117188,0.033976806666291534,0.18000000299999996,True,10
31,0.028970003128051758,0.04434028088765849,0.1599999672372096,True,10
32,0.028347015380859375,0.04033035645676878,0.16000000300000017,True,10
33,0.028506040573120117,0.03431469098715685,0.18000000299999996,True,10
34,0.028124332427978516,0.04791051176805909,0.15999998511860586,True,10
35,0.02863788604736328,0.03967155997726651,0.16000000299999997,True,10
36,0.02842402458190918,0.037585627729056215,0.20000000299999995,True,10
37,0.029050111770629883,0.036536452468927394,0.1800000029999996,True,10
38,0.029177188873291016,0.04615869463651724,0.20000000299999995,True,10
39,0.028765201568603516,0.040148487422375256,0.17999998511860496,True,10
40,0.02976202964782715,0.03207038548719557,0.18000000299999996,True,10
41,0.029649019241333008,0.051080952515565436,0.13999996723721345,True,10
42,0.028928041458129883,0.05141518239518421,0.19999998511860584,True,10
43,0.029343843460083008,0.035293660171954226,0.1600000030000004,True,10
44,0.029319047927856445,0.051320401928078206,0.16000000299999997,True,10
45,0.02970600128173828,0.036742111885424124,0.17999994935581723,True,10
46,0.029089927673339844,0.03720760786718035,0.18000000299999996,True,10
47,0.030450820922851562,0.03183957412708725,0.20000000300000015,True,10
48,0.029235124588012695,0.036347145014052,0.17999996723721348,True,10
49,0.030197858810424805,0.035031764936232355,0.20000000299999995,True,10
50,0.03177380561828613,0.02772237516871571,0.16000000299999997,True,10
51,0.02850794792175293,0.049388225674520246,0.19999998511860584,True,10
