episode,delta_ged,delta_ig,cumulative_ged,cumulative_ig,graph_nodes,graph_edges,spike_detected
1,0.10825780034065247,0.0,0.10825780034065247,0.0,1,1,False
2,0.08505141735076904,0.0,0.1933092176914215,0.0,1,1,False
3,0.07190941572189331,0.0,0.2652186334133148,0.0,1,1,False
4,0.03245104551315307,0.0,0.2976696789264679,0.0,1,1,False
5,0.08120466470718384,0.0,0.37887434363365174,0.0,1,1,False
6,0.05127323269844055,0.0,0.4301475763320923,0.0,1,1,False
7,0.07466198801994324,0.0,0.5048095643520355,0.0,1,1,False
8,0.10783724784851074,0.0,0.6126468122005463,0.0,1,1,False
9,0.05825804471969604,0.0,0.6709048569202424,0.0,1,1,False
10,0.06062445044517517,0.0,0.7315293073654175,0.0,1,1,False
11,0.03848544359207153,0.0,0.7700147509574891,0.0,1,1,False
12,0.09240694642066956,0.0,0.8624216973781587,0.0,1,1,False
13,0.04818005561828613,0.0,0.9106017529964447,0.0,1,1,False
14,0.06673219799995422,0.0,0.977333950996399,0.0,1,1,False
15,0.05537506341934204,0.0,1.032709014415741,0.0,1,1,False
16,0.08158339262008667,0.0,1.1142924070358275,0.0,1,1,False
17,0.07250624299049377,0.0,1.1867986500263212,0.0,1,1,False
18,0.13097587823867798,0.0,1.3177745282649993,0.0,1,1,False
19,0.09305613040924073,0.0,1.41083065867424,0.0,1,1,False
20,0.08862208127975464,0.0,1.4994527399539948,0.0,1,1,False
21,0.07173002958297729,0.0,1.571182769536972,0.0,1,1,False
22,0.0501134991645813,0.0,1.6212962687015533,0.0,1,1,False
23,0.07721330523490906,0.0,1.6985095739364624,0.0,1,1,False
24,0.07686481475830077,0.0,1.7753743886947633,0.0,1,1,False
25,0.11592929363250731,0.0,1.8913036823272706,0.0,1,1,False
26,0.09248340725898742,0.0,1.9837870895862582,0.0,1,1,False
27,0.08302302360534668,0.0,2.066810113191605,0.0,1,1,False
28,0.04996029138565063,0.0,2.1167704045772555,0.0,1,1,False
29,0.12864298224449158,0.0,2.245413386821747,0.0,1,1,False
30,0.07761638760566711,0.0,2.323029774427414,0.0,1,1,False
31,0.06387253403663636,0.0,2.3869023084640504,0.0,1,1,False
32,0.0829318642616272,0.0,2.4698341727256774,0.0,1,1,False
33,0.10142027735710143,0.0,2.5712544500827788,0.0,1,1,False
34,0.09949082136154175,0.0,2.6707452714443205,0.0,1,1,False
35,0.03378946781158447,0.0,2.704534739255905,0.0,1,1,False
36,0.13097757697105408,0.0,2.8355123162269593,0.0,1,1,False
37,0.09048725366592407,0.0,2.9259995698928836,0.0,1,1,False
38,0.04747474193572998,0.0,2.9734743118286135,0.0,1,1,False
39,0.06707310676574707,0.0,3.0405474185943606,0.0,1,1,False
40,0.07961515188217162,0.0,3.1201625704765323,0.0,1,1,False
41,0.11001775860786438,0.0,3.230180329084397,0.0,1,1,False
42,0.06840189099311829,0.0,3.298582220077515,0.0,1,1,False
43,0.032072889804840084,0.0,3.330655109882355,0.0,1,1,False
44,0.04096341133117676,0.0,3.3716185212135317,0.0,1,1,False
45,0.04608067274093628,0.0,3.417699193954468,0.0,1,1,False
46,0.04641396403312683,0.0,3.464113157987595,0.0,1,1,False
47,0.07735705375671387,0.0,3.5414702117443086,0.0,1,1,False
48,0.052322888374328615,0.0,3.593793100118637,0.0,1,1,False
49,0.0883107304573059,0.0,3.6821038305759433,0.0,1,1,False
50,0.0802800178527832,0.0,3.7623838484287266,0.0,1,1,False
