Dataset,Documents,Episodes Before,Episodes After,New Episodes,Integration Rate,Avg Time (s),Graph Nodes,Graph Edges
squad_30,60,0,22,22,63.3%,0.097,60,1709
ms_marco_20,181,22,184,162,10.5%,0.059,241,2599
