run_id,H,k,latency_ms
pszH3_k6_anthropic,3,6,18606.05
pszH3_k6_anthropic,3,6,16974.83
pszH3_k6_anthropic,3,6,17407.79
pszH3_k6_anthropic,3,6,17984.60
pszH3_k6_anthropic,3,6,17578.94
pszH3_k6_anthropic,3,6,17399.28
pszH3_k6_anthropic,3,6,15802.36
pszH3_k6_anthropic,3,6,19518.10
pszH3_k6_anthropic,3,6,16602.81
pszH3_k6_anthropic,3,6,15851.68
pszH3_k6_anthropic,3,6,16595.16
pszH3_k6_anthropic,3,6,16023.30
pszH3_k6_anthropic,3,6,15244.96
pszH3_k6_anthropic,3,6,17714.02
pszH3_k6_anthropic,3,6,20198.44
pszH3_k6_anthropic,3,6,16317.06
pszH3_k6_anthropic,3,6,15031.22
pszH3_k6_anthropic,3,6,13950.10
pszH3_k6_anthropic,3,6,14124.57
pszH3_k8_anthropic,3,8,17214.79
pszH3_k8_anthropic,3,8,19466.02
pszH3_k8_anthropic,3,8,16879.90
pszH3_k8_anthropic,3,8,18307.96
pszH3_k8_anthropic,3,8,17111.31
pszH3_k8_anthropic,3,8,18667.17
pszH3_k8_anthropic,3,8,16812.61
pszH3_k8_anthropic,3,8,22883.55
pszH3_k8_anthropic,3,8,15526.13
pszH3_k8_anthropic,3,8,16343.73
pszH3_k8_anthropic,3,8,19711.77
pszH3_k8_anthropic,3,8,18532.72
pszH3_k8_anthropic,3,8,14879.08
pszH3_k8_anthropic,3,8,15428.71
pszH3_k8_anthropic,3,8,12394.20
pszH3_k8_anthropic,3,8,23280.56
pszH3_k8_anthropic,3,8,19675.83
pszH3_k8_anthropic,3,8,14016.92
pszH3_k8_anthropic,3,8,15213.69
pszH3_k8_anthropic,3,8,18691.88
pszH3_k8_anthropic,3,8,15447.41
