document_count,system,construction_time,memory_usage_mb,retrieval_accuracy,knowledge_retention,facts_extracted,efficiency_score
50,Baseline_RAG,0.1,1.0,0.7495757715129265,0.7796577013963436,150,5780.482122235776
50,InsightSpike_Dynamic,0.06229805946350098,0.5,0.8680098911678715,0.8424149425590887,300,23058.051979756954
100,Baseline_RAG,0.1,1.0,0.6941585189564865,0.7252276642850007,300,4979.406349554883
100,InsightSpike_Dynamic,0.12851500511169434,0.5,0.8680098911678715,0.8424149425590887,600,11269.195751244784
