config_name,params,update_rate,updates_applied,novel_updates,final_nodes,final_edges,avg_gedig,positive_rate,avg_similarity,final_density,update_rate_norm,novel_updates_norm,final_nodes_norm,final_edges_norm,positive_rate_norm,composite_score
Adaptive Dense,"{'k': 0.05, 'node_weight': 0.4, 'edge_weight': 0.3, 'novelty_weight': 0.3, 'connectivity_weight': 0.1, 'threshold_base': -0.2, 'threshold_novelty_high': -0.5, 'threshold_novelty_low': -0.1, 'edge_similarity_threshold': 0.2, 'adaptive_k': True, 'density_k_factor': 0.7}",1.0,19,0,32,31,0.6186948490134456,1.0,0.18689304260613185,0.06666666666666667,1.0,0,1.0,1.0,1.0,0.67
Balanced Adaptive,"{'k': 0.08, 'node_weight': 0.35, 'edge_weight': 0.25, 'novelty_weight': 0.35, 'connectivity_weight': 0.15, 'threshold_base': -0.15, 'threshold_novelty_high': -0.4, 'threshold_novelty_low': -0.05, 'edge_similarity_threshold': 0.25, 'adaptive_k': True, 'density_k_factor': 0.5}",1.0,19,0,32,31,0.39865143745667764,1.0,0.18689304260613185,0.06666666666666667,1.0,0,1.0,1.0,1.0,0.67
Progressive Growth,"{'k': 0.06, 'node_weight': 0.45, 'edge_weight': 0.35, 'novelty_weight': 0.25, 'connectivity_weight': 0.05, 'threshold_base': -0.25, 'threshold_novelty_high': -0.6, 'threshold_novelty_low': -0.15, 'edge_similarity_threshold': 0.15, 'adaptive_k': True, 'density_k_factor': 0.8}",1.0,19,0,32,31,0.9106422174344982,1.0,0.18689304260613185,0.06666666666666667,1.0,0,1.0,1.0,1.0,0.67
Fixed Lenient,"{'k': 0.03, 'node_weight': 0.5, 'edge_weight': 0.4, 'novelty_weight': 0.2, 'connectivity_weight': 0.05, 'threshold_base': -0.3, 'threshold_novelty_high': -0.7, 'threshold_novelty_low': -0.2, 'edge_similarity_threshold': 0.1, 'adaptive_k': False}",1.0,19,0,32,31,1.3542410975001153,1.0,0.18689304260613185,0.0,1.0,0,1.0,1.0,1.0,0.67
STATIC (Baseline),,0.0,0,0,13,29,0.0,0.0,0.1721489427877703,0.0,0.0,0,0.40625,0.9354838709677419,0.0,0.2703225806451613
FREQUENCY (Baseline),,1.0,19,0,32,31,0.0,0.0,0.18689304260613185,0.0,1.0,0,1.0,1.0,0.0,0.52
COSINE (Baseline),,1.0,19,0,32,31,0.0,0.0,0.18689304260613185,0.0,1.0,0,1.0,1.0,0.0,0.52
